System               | Instance             | Version    | Date       | Server    
oqtr                 | OQTR_01s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_02p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_02s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_03p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_03s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_04p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_04s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_51p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_51s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_52p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
oqtr                 | OQTR_52s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
precise_ports        | precise_ports_01_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_01_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_02_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_02_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_03_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_03_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_04_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
precise_ports        | precise_ports_04_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | BAT       
